title;name;Commentaire (Contenu);Commentaires (Professeur);Contenu;Pédagogie;points
Business Economics;Frédéric Jenny;Cours basique de microéconomie, facile à valider, ;prend les absences mais s'en fout des retard, pose des petits controle surprise de dix minutes ;5;6;21
Marketing Research;Niek Althuizen;Tres bien en theorie mais le concept de cours sur slides n'est pas adapte, on ne retient rien... Pas de partiel mais un cas a bosser en groupe, qui demande beaucoup de travail.;Tres sympa mais pas assez rigoureux, on avance pas, il explique vite fait, on ne retient rien. ;5;6;30
Economie managériale;Marc Guyot;Fonda à valider quoi... suite de la microéco de PI ou du pré-Msc pour les AST;Mouais... pas convaincu. Il doit être bon dans son domaine mais s'écoute bcp parler. Quelque peu arrogant par moments et ULTRA chiant sur les deadlines. Pour faire simple, cas à rendre tous les semaines en version papier sur son bureau à 16h30. Si en retard de 5 min, c'est la porte le plus souvent et à noter que c'est -5pts sur le cas s'il est rendu en retard ou par mail. / S'il n'est pas rendu, c'est zéro évidemmentreprise.. / PS : fait l'appel à tous les cours;6;4;
Advanced Business English - niveau A/B;John MELLOR;Tres bon cours car nous etions tres peu, ce qui permettait a chacun de s exprimer.;Tres bon prof, cultive et interessant. ;7;7;
Théorie & comportement organi.;Fabrice Cavarretta;Peu intéressant et assez pipeau. Pas de concepts révolutionnaires.;Cours qui serait passé beaucoup moins bien avec un autre prof. Cavarretta a l'avantage d'être assez dynamique, de lancer des débats et la dernière heure est consacrée à l'analyse d'un film. Le cours passe donc relativement vite. En revanche, je n'ai pas du tout aimé le personnage de Cavarretta en lui-même, relativement prétentieux et essaie de susciter un débat mais s'énerve quand les élèves ne sont pas d'accord avec lui. / Système d'évaluation: participation, analyse de film en groupe, quiz final. Notation large.;4;5;
Organization Theory & Behaviour;Terry Rocves;Content was fine, but those contents and concepts were a bit old. The experiments and example were a bit monotonous;average. Maybe he could add more interesting things like current applications in modern enterprises, recent cases into the class. ;7;5;
Gestion de projet;Thierry Louis;Le cours est en rodage : première partie informatique avec Fouad, quelques notions d'optimisation, on utilise Excel et pas MS Project, on peut donc s'intéroger sur l'utilité pratique de cette première partie. Une deuxième partie conceptuelle et générale absolument passionnante grâce aux exemples et à l'énergie de Thierry. / Notation continue de petits exos à faire en cours mais ça va surement changer.;Fouad : sûrement super bon dans son domaine, mais manque de passion... Et puis de 16:30 à 19:30, il en faut. / Thierry : le mec le plus cool de la terre, pose des questions sans être lourd, apporte du chocolat, bref, meilleur prof.;9;9;
Mergers and Acquisitions;Sridhar Arcot;Le cours est intéressant, parfois trop théorique notamment sur le chapitre du Cumulative Abnormal return mais globalement on étoffe bien ses compétences et le prof fait souvent des liens avec l'actualité.;Ordi interdit, le prof fait passer une feuille pour valider les présences en cours. / Prof sympa et dispo pour les questions, il rit très (trop?) souventreprise Il a également fait intervenir un groupe d'étudiant durant la semaine internationale pour nous initier au yoga, bref il est ouvert d'esprit et la validation se fait détente (3 cas en groupe + un final exam qui ressemble énormément au partiel blanc dont la correction est faite en cours puis publiée en ligne). / ;9;9;60
Strategy and Management;Gilles Van Wijk;Course organized in two parts: one theoretical and the second one about a case we had to read during the week. The first part is unclear, the teacher doesn't explain the notions in an organized manner, he makes the courses with the students and goes from one thing to another without any link. Hard to understand for people without any management previous skills. / The second part is better, concrete and interesting although there is no sharp link with the previous one. / Not much work to do, only two cases to analyze and sum up through a problem statement in 3 lines. Final term in group of 4 consists of a case analysis with all documents, computers... / ;Sometimes confusing but he gives a lively lecture, including all students to participate whatever they say.  / Calls the register each time.;4;4;35
Atelier de négociation;Imen Benharda;Super cours!! L'un des meilleurs de l'ESSEC.;Très sympa! Dynamique et impliqué!  ;10;10;40
Sustainability Performance;Charles Cho;Cours intéressant et pas pipo qui développe des concepts sur la responsabilité sociétale des entreprises et le développement durable. Plusieurs aspects abordés: recherche, entreprises, finance.;3 profs sympas et dynamiques, 1 exposé à faire et un cas en groupe, validation facile ;7;8;35
Gestion de projet;Thierry Louis;Très intéressant, mais ne concerne que la gestion de projet menée par les grandes entreprises, il n'apporte pas de connaissances sur la gestion pour un projet perso ou autre;El Ouardighi fait uniquement des cours excel, Louis raconte des histoires plutôt chouettes, ce qui apporte un bon équilibre pour le cours entre théorie et pratique;10;9;42
Innovation Process Management;Xavier Pavie;Plutôt light en termes de travail personnel (1 photo à poster chaque semaine, un des cours à résumer, et un travail de groupe). En soi ce n'est pas révolutionnaire et on en retire pas des masses. Quelques concepts et intervenants très intéressants en revanche, et le prof apporte une bonne valeur ajoutée au contenu, si on se laisse prendre au jeu c'est sympa.;"Pavie paraît détaché et vous accueille en mode ""je sais que vous êtes là parce-que c'est détente et que l'horaire est bien"", mais honnêtement il est super sympa et, au fond, passionné par son sujet. Détente sur les retards et les PC. Accent anglais pas transcendant mais on s'y fait.";6;7;13
Marketing management (en français);Nicolas Glady;Très bon cours, réconcilie avec le marketing qui souffrait d'une réputation très pipeau depuis la PI. Ici on aborde le marketing de façon analytique, on apprend à maitriser MeXL, à faire des segmentations de marchés basées sur des chiffres et données réels, à analyser des situations réelles d'entreprises en difficulté, sans questions prémâchées, et à faire de vraies présentations pros. Top!;Bon prof qui maîtrise totalement son sujet et qui est exigeant. En revanche, se la pète un peu... ;9;7;31
Marketing management (en français);Nicolas Glady;Super cours, des travaux de groupes très intensifs et assez peu de pipo. Beaucoup d'analyse de données.;le prof est clair, précis et consacre du temps à faire des retours sur les travaux de groupe. J'ai beaucoup apprécié les retours personnalisé;6;9;41
Entrepreneurship;Fabrice Cavarretta;Some good concepts related to entrepreneurship were taught. These were reiterated throughout the course. This course was not about making business plans but about the differences between an entrepreneur and a manager.;Professor is very passionate about the subject. At times, he can be a bit overbearing.  / It is marked if you are late to class.  / Class participation is required.;6;6;38
Français débutant suite de la FTS - niveau D;Brigitte OEHLER;The course was well structured as always with Brigitte and had a mix of vocabulary and grammar.;Brigitte is the best French teacher at ESSEC. She's really patient with students, explains well, makes the classes interesting and involving and she brings a great structure into the lectures. ;8;10;8
Strategic Cost Management;Stefan Linder;Cours riche en contenu et en cas, avec de nombreux concepts. / On fait cependant rapidement le tour des coûts, et les cas doivent être rendus toutes les semaines ce qui est assez chronophage.;Dynamique et sympa, le prof perd pas mal de temps à faire des digressions...perdant ainsi en impact;8;6;43
Corporate Strategy;Elisa Operti;;;7;7;18
Finance immobilière;Michel Baroni;Cours intéressant mais assez technique. Le prof passe rapidement sur les bases fondamentales donc je vous conseille de ne pas faire comme moi et de d'abord valider le fonda de finance voire d'autres cours de finance avant de prendre celui-là;Professeur très gentil. Un intermédiaire dès la 3ème séance sur un travail à faire en groupe. Il compte pour 40%, à réussir absolument pour s'assurer la validation car le final est assez dur même si le prof est plutôt (?) cool sur la notation. ;7;7;23
Excel avancé pour managers;Eric Plantier;Cours complet et exhaustif, qui permet de très bien maîtriser Excel. Pendant les cours, on alterne entre enseignement des concepts et mise en pratique avec des TD, et il y a quelques cas (facultatifs) à faire chez soi pour s'entraîner.;Prof sympa, très disponible, pédagogie efficace. On rêverait que tous les profs de l'Essec lui ressemblentreprise..;10;10;60
Macroeconomic Theory & Development;Estefania Santacreu-Vasut;La théorie et les concepts abordés sont intéressants;Mais la prof a du mal à rendre le cours vivant, le rythme est trop lent, trop de temps passé sur chaque chapitre, difficile de rester concentré le soir.;6;3;
Business Economics;Frédéric Jenny;;Pas regardant du tout sur les retards, les ordis, les téléphones... Mais fait quand même l'appel.;6;6;22
Corporate Financial Management;Sridhar Arcot;"Cours globalement ""basique"" de finance sur le choix equity/debt. Le poly est complet et le quizz se valide sans trop de soucis avec une feuille A4 recto/verso";Sridhar est top! Il est pédagogue , répète bien les choses et répond clairement aux questions!  / ;8;10;11
Anthropologie marques de luxe;Simon Nyeck;Bon cours, analyse les fondements des marques de luxe et ce qui leur permet de réussir tout en margeant de façon si scandaleuse. Casse le mythe des marques de luxe de façon sympa. Rien de révolutionnaire non plus.;Prof très cool, essaye d'amener les élèves à vraiment approfondir leurs réflexions. Très détente, donne d'excellentes notes.;7;7;27
Création de produit innovant 1;Emmanuelle Le Nagard;Intéressant en théorie mais dans les faits les boites proposent des missions très éloignées de la création d'un produit innovant. Et je n'ai pas choisi l'entreprise...;Encadrant fantôme (pierre de milly);4;3;0
Marketing management (en français);Nicolas Glady;Excellent cours qui mêle un peu de théorie et beaucoup de pratique. Le traitement du marketing est ici très orienté consulting. Les cas en groupe sont particulièrement prenants mais très intéressants. On a une réelle sensation d'avoir progressé sur l'analyse de donnée et d'avoir su la traduire en vraie recommandation businness. Maîtrise d'Excel et de Powerpoint plus que conseillée;"Excellent professeur, indépendant d'esprit et concret ; ils ne laissent pas dicter ses opinions par la théorie et sait réellement ce qui fonctionne ou ne fonctionne pas chez le consommateur lambda. Le marketing prend une vraie dimension business avec lui.";9;9;
Communication et culture (1) - Niveau B;Brigitte OEHLER;It's really nice but after a whole day work, it's tiring to still have classes during the evening time.;Brigitte is kind and talkative. We learned a lot.;8;9;35
Communication et culture (1) - niveau B;Brigitte OEHLER;Nice course, but sometimes to much. It's like what you have to learn in one sector, you have to learn all of them, from fundamental to all the advanced expressions, which is not how people acquire things.;I guess for grande ecole, you don't have other choice than Brigette.;7;8;1
Concevoir un projet d'entreprise;Hamid Bouchikhi;Très très bon cours d'entreprenariat, ou l'on construit le business plan de nos idées ... À prendre plutôt en fin de cursus et si on a un projet déjà bien défini. Beaucoup de travail personnel. ;Bon prof, se perd parfois un peu dans les détails mais très motivant. ;8;7;
Anthropology of Luxury Brands;Simon Nyeck;Le cours est intéressant, change des approches trop classiques sur le luxe, qui devient dans ce cours un sujet simplement commercial, suivant des règles précises.  / Le cours se répète un peu au final, mais encore une fois les concepts développés restent néanmoins pertinents.;Bon professeur, très impliqué dans son cours, donne en vie de travailler sur les cas. ;5;8;
Luxury Retail Management;Delphine Dion;The professor is great, and we launch a Kenzo Chanllenge, which offers the seats to the fashion week for the winners.;The professor is quite experienced and she invited lots of great guest speakers, which helped me to know every aspect of luxury retailing;9;9;
Concevoir un projet d'entreprise;Hamid Bouchikhi;"Le cours consiste en un travail de groupe sur un projet d'entreprise à concevoir. Pour être clair le prof demande au 1er cours aux élèves de proposer des idées d'entreprises. Ceux qui en ont une vendent leur projet auprès des autres. Chacun choisit ensuite de se mettre dans un groupe avec un projet qui lui plaît. À partir de là il est demandé de concevoir un power point pour la fin du trimestre qui correspond vaguement à un business plan avec une analyse du marché et de la concurrence, une projection financière (très très limitée), etc...  / Le cours est en fait assez pipo, puisque le prof nous laisse ""travailler"" (euh discuter?) pendant toutes les séances qui précèdent la dernière, puisqu'après tout y a peut-être un Steve Jobs dans la salle et on ne contredit pas un futur Steve Jobs.  / Ne vous attendez pas donc pas du tout à apprendre des éléments techniques pour savoir faire un business plan à vendre à des banques ou des investisseurs, pas de conseils en excel ou ppt à attendre.  / Un des intérêts majeurs du cours consiste en la présentation faite régulièrement de leurs entreprises par d'ex-ESSEC qui ont souvent assez bien réussi (Sketchfab, Sojeans) ou du moins essayé de réussir.  / Point à noter le cours est à valider pour la filière entrepreneuriat et il est ouvert à plusieurs programmes dont les Masters spécialisés, donc les profils sont très diversifiés; en âge, en expérience, en motivation, en compétences etc...";Le prof est sympa mais ne sert pas à grand chose, il nous laisse faire notre travail de groupe tranquillement, et note très gentiment à la fin ;2;10;32
Théorie & comportement organi.;Fabrice Cavarretta;Cours assez bullshit a priori, mais Cavaretta réussit à nous le rendre assez intéressant, même pour un lundi matin. / Déroulement en deux parties. Premiere partie : Cours, deuxième partie : exposé. / Seul bémol : 0 retour sur l'exposé (ie qualités et defauts).;Cavaretta est top, pas mal d'anecdotes intéressantes. Le seul problème est qu'il est assez tétu et que certaines histoires reviennent un peu en boucle mais rien à dire quand on compare aux autres profs d'OB.;9;10;37
Business Economics;Frédéric Jenny;Great course, very practical. For once I understood the interest of a course in real life.;Prof Jenny is great, he does not like maths and prefers concepts. He has very interesting examples and he explains everything well.  / He notes every absence, but I think it is mostly to reward people who never miss class.;9;10;36
Big Data Analytics;Nicolas Glady;Excellent cours qui demande beaucoup de travail et d'implication, aucun moyen de passer au travers ;Meilleur professeur de l'ESSEC ;10;10;
Strategy and Management;Gilles Van Wijk;;;9;8;35
Excel avancé pour managers;Eric Plantier;Cours connu pour être bon, on comprend pourquoi. On apprend des choses intéressantes et on découvre qu'Excel a beaucoup de possibilités inconnues.;Très bon prof, sympathique et qui sait rendre son cours intéressant. / Ne note pas les absences, mais ne distribue pas ses slides.;8;9;
Strategy and Management;Gilles Van Wijk;;;10;10;
Product Management;Albert Bemmaor;;;1;1;
Entrepreneurship;Fabrice Cavarretta;;;7;10;35
Gestion de projet;Thierry Louis;Très bon cours. Bon mix entre théorie pure avec Fouad El Ouardighi et pratique avec Thierry Louis.  / Le controle continue avec ElOuardighi (un td sur excel par cours) se fait sans pression et c'est facile. ==> pas de travail perso. / ;ElOuardighi est un bon prof meme s'il explique vite, son cours est très structuré et c'est interessant. Thierry Louis apporte son regard de consultant et a beaucoup d'exemples concrets. Les deux sont sympas, il y a pas de pression. / Le mix des deux profs est très bien.;8;8;10
Anthropology of Luxury Brands;Simon Nyeck;Cours assez intéressant, les cas sont bien et donnent une bonn culture générale du monde du luxe.;Prof sympa, rend le cours intéractif et intéressant. Ne note pas l'absence et est très tolérant avec les retards.;7;8;
Entrepreneurship;Fabrice Cavarretta;;;10;10;
Financial Markets;Patrick Legland;not exactly financial markets more like a general M&A course;The teacher is excellent, makes you work on actual case studies ;7;8;41
Consumer Behavior;Laurence Verdickt;Cours très théorique qui aborde de façon exhaustive les facteurs du comportement du consommateur. On aborde les concepts à la fois culturels, psychologique et sociaux. Certains pourront trouver dommage que des concepts clés ne soient que brièvement évoqués mais le programme est tellement vaste qu'il n'autorise peu les digressions. / A la fin de chaque cours un groupe présente le cas que l'on a préparé. Ces derniers demandent quand même pas mal de travail. / L'évaluation se fait sur les cas, un projet final et un petit mémo word personnel.;La prof parle un anglais très frenchy et lit ses slides. C'est pas très emballant pour un cours le lundi 9h. La prof compte les absences et autorise les ordinateurs.;6;6;18
Droit & politiques de l'Europe;Viviane de Beaufort;Du contenu pas méchant mais pas hyper passionnant. Cours pipeau.;Elle part dans ses délires toute seule, difficile de suivre un cours. Des intervenants qui sont parfois meilleurs à certains cours. Demande peu de travail;4;6;8
Info comptables et financières;Chrystelle Richard;;;8;10;65
Strategy and Management;Gilles Van Wijk;;;5;6;
Droit des contrats;Anne-Sophie Barthez;"Cours exclusivement dicté > gigantesque perte de temps / Exercices pendant le cours sans correction précise / Sujet intéressant et pourant cours sans structure ni valeur ajoutée.  / Seulement des articles de loi et des exemples ""civiles"" / ";Nous prend probablement pour des demeurés. A séché 4 cours sur 10. À ce jour, aucune évaluation, donc aucune note, donc aurons-nous 1 UV?? À se demander si elle avait pris la mesure de son rôle de prof...;2;1;
Evaluation stratégique et fin.;Gérard Despinoy;Cours qui avait l'air très intéressant mais s'est avéré très décevant, aucun apport conceptuel ou pratique, le prof raconte sa vie, des anecdotes racoleuses et parle dans le ventreprise Finalement, on n'apprend rien. ;"Professeur qui aime s'écouter parler; ne fait pas l'appel / n'est pas regardant pour les retards. / Pas d'examen, la seule notation provient d'un dossier d'évaluation en groupe sur une entreprise de notre choix que l'on présente à la dernière séance.";1;1;
Gestion de projet;Thierry Louis;Cours assez intéressant mais manque de fil conducteur;Deux profs compétents mais qui se perdent dans leurs histoires ;7;6;14
Corporate Strategy;Elisa Operti;Cours très intéressant et utile. Pas mal de cas à faire, mais note bien.;Très bon professeur.;9;10;32
Communication orale avancée - niveau B/C;Maria BLANCO;Le cours à prendre si l'on veut progresser en espagnol. Avec Maria, il est impossible de rester dans son coin, il faut participer. C'est un peu oppressant au début mais on finit par s'y faire. Il y a pas mal de boulot donc à ne pas prendre si l'on cherche un cours d'espagnol à valider facilementreprise ;Le deal est simple : on travaille et on participe et tout se passe bien. Maria est moqueuse et peut s'énerver au quart de tour mais tant qu'on fait preuve de bonne volonté il n'y a aucun problème. Elle s'adapte au niveau de chacun et cherche vraiment à nous faire progresser. ;9;9;18
Marketing management (en français);Nicolas Glady;Cours basé sur des des cas pratiques à rendre;Prof passionnant, l'un des meilleurs que j'ai eu. Se fiche des absences tant qu'on participe correctement aux cas à rendre, sinon pénalités;10;10;33
Droit des médias;Cosima Ouhioun;Très clair;Bonne prof, à l'écoute et disponible;;;36
Macroeconomic Theory & Development;Estefania Santacreu-Vasut;Cours très intéressant, mais se veut basé sur le modèle de Solow pendant tout le long. Il faut vraiment aimer la théorie macro pure. Pas de calculs, surtout des idées logiques. ;Excellent professeur, très impliquée dans son cours et très passionnée surtout. ;8;10;
Management of Organizations;Gilles Van Wijk;Le plus mauvais cours que j'ai pris a l'ESSEC. A eviter. Le cours de OB etait 500 fois plus passionnant... C'est dire. Mais ce cours est indispensable pour la filiere Strategie et peut aussi servir pour la filiere CFO;Horrible. -10% sur la note finale pour une absence...  / Interroge les eleves quand ces derniers ne pretent plus attention (note de participation importante :30%);0;0;
Finl Accounting & Reporting;Luc Paugam;Fonda intéressant même si on est allergique à la compta. Permet de s'initier à l'analyse des états financiers. / ;Prof jeune, pédagogue, accessible tant en cours que par mail. ;10;10;
Macroeconomic Theory & Development;Estefania Santacreu-Vasut;;;3;7;
Services Management & Mkg;Xavier Pavie;Un cours que j'ai trouvé très sympa. Je l'ai pris au début pour meubler mon jeudi après-midi, mais j'ai été surpris par la qualité du contenu, car oui, il y a bien un contenu à ce cours. On apprend surtout que toutes les industries ou presque peuvent être vues sous l'angle des services, on le répète un peu, mais à chaque fois avec des exemples concrets. On reste dans des grandes lignes, des grands principes, mais en fait c'est surtout l'apprentissage d'une façon de voir les choses qu'on garde en mémoire sur le long-terme, et non pas une énumération de concepts pipo (et tant mieux !). Et pour une fois à l'Essec, le professeur ne monte pas trop sa bullshit en épingle, il mène son cours dans une ambiance sympathique et bon enfant, en l'illustrant d'exemples. / Le travail demandé n'est pas trop exigeant : une photo à poster sur un groupe FB toutes les semaines, un résumé de cours sous ppt à présenter à trois, et une présentation finale devant un jury professionnel (très bonne idée !).;Avant, je connaissais Xavier Pavie pour sa mégalomanie légendaire. Mais finalement, c'est quelqu'un de très sympathique ! Il est content de lui, et il joue un peu la comédie, mais il a l'air de bien maîtriser son sujet et il ne le présente pas non plus comme le graal de la connaissance humaine. Rafraîchissant !;8;9;
Macroeconomic Theory & Development;Estefania Santacreu-Vasut;"Cours choisi ""par défaut"", mais qui est intéressant. Ne requiert pas fondamentalement une connaissance très pointue de Macroéconomie, mais un intérêt pour le domaine est un plus. Une petite piqure de rappel de prépa en fin de cursus ne peut pas faire de mal. On y approfondit des théories du développement et de la croissance (majoritairement le modèle de Solow). ";Les cours sont très précis et le poly résume chaque séance (nécessaire en cas d'absence). 3 cas (Problem Set) à rendre au cours du trimestre, une étude en groupe sur un pays avec dossier écrit et un examen final sur table très pointu mais qui ne compte pas pour beaucoup (30%). Absences comptées. ;6;8;
Le cinéma allemand - niveau B/C;Johannes WETZEL;Cours passionnant, très bien documenté. On y découvre à la fois les bases du cinéma, et l'histoire de la culture allemand à travers le cinéma allemand. Le professeur explique très bien et montre énormément d'extraits de films pour illustrer le cours. On apprend beaucoup de choses ! / Le cours commence toujours pas une heure de grammaire, avec exercices et petits tests, qui permettent de reprendre;Le professeur est très sympa, il explique très bien et son cours est vraiment intéressant. On sent qu'il est passionné par sa matière et qu'il a envie de nous transmettre sa passion. Il donne envie d'apprendre.;10;10;5
Principles of Finance;Jocelyn Martel;Cours bien construit.;professeur sympathique, n'accepte aucun retard ni ordi ni téléphone et écrit tout à la craie au tableau. Il est très clair dans ses explications.;9;9;
Economie managériale;Marc Guyot;Super cours, très intéressant.  / Un commentaire d'article à rendre à chaque séance : très bon exercice pour apprendre à réutiliser le contenu du cours dans notre vie pro. ;Prof drôle, dynamique, disponible.  / On ne s'ennuie pas.;10;10;
Business Ethics;Laurent Bibard;PIPO. / Pipeau pipeau pipeau. / ;;1;2;
Gestion de projet;Thierry Louis;Un bon cours qui parle de la gestion de projet dans une grande entreprise (rien à voir avec la gestion de projet associatif, ou de startup). De très bons exemples issus de l'expérience des deux profs. Par contre, il s'agissait d'une première pour ce cours et on leur a expliqué que le rythme d'un cas noté à la fin du cours en binome c'était pas sérieux... Espérons qu'ils les modifieront. Cas final sur MS Project pas de partiel.;de bons profs, dynamique et avec de belles expériences.;8;8;35
Advanced Excel for Managers;Christophe Harrer;Donne des bonnes bases en excel;prof passionné donc intéressant;7;5;
E-Business Entrepreneurship;Jan Ondrus;The course is not bringing a lot of added value since you can get it from several books;The professor does not explain the best he could.;5;5;
Advanced Excel for Managers;Christophe Harrer;Très bon cours, un des meilleurs de l'essec car très utile. Encore mieux si l'on a des stages qui nous permettent de mettre en application tous les concepts appris. Cas à bien faire sérieusement pour s'entraîner et mettre en application ce qui a été appris. / Quizz final long et difficile mais le prof adapte la notation...;Professeur adorable, qui sera toujours dispo pour répondre à vos questions et qui a une grande connaissance en terme d'excel avancé. L'anglais n'est pas sa langue naturelle et ça s'entend mais il fait des efforts pour tout bien communiquer !;9;8;49
Entrepreneurship;Fabrice Cavarretta;Manière intéressante de traiter l'entrepreunariat (approche Lean, Effectuation) qui rend ce cours original. En revanche, M. Cavaretta n'est pas de l'école des businesss plan, value chain, disons de l'approche classique et ne fait aucun effort pour la traiter. Pour les personnes espérant trouver ceci dans ce cours, le prendre avec un autre professeur. Se valide facilement;Professeur dynamique qui confère au cours une ambiance sympa. Compte les absences mais manque de structure globale: ne dit pas ce qu'il faut faire pour les cours suivants, ne respecte absolument pas la structure annoncé (cas de la séance 2 traitée pendant la séance 6) ce qui fait que les élèves ne s'investissent que très peu en dehors des cours.;8;8;31
Services Management & Mkg;Xavier Pavie;Good, just talking and one easy presentation.;Great professor;5;10;20
Advanced Excel for Managers;Christophe Harrer;"It is too much; he teaches things that are so complicated at the point that they become useless in real life.";He is a nice person but he doesnt understand that he asks students the impossible and even more;3;5;
Financial Statement Analysis;Paul André;The course is very useful if you want to know better financial analysis, it lays a foundation for your future study in equity research;Does not care about attendance, the pedagogy is quite nice although it's a bit bilabial;8;8;45
Financial Statement Analysis;Paul André;Très bien et très utile ;Attentif et prend du temps pour répondre à toutes nos questions;8;9;35
Services Management & Mkg;Xavier Pavie;"Cours à la fois théorique (qu'est-ce qu'un service, comment créer une relation avec le client, etc) et pratique avec un projet mené par groupe du début à la fin. La thématique ce trimestre était le tourisme à Montmartre (assez drôle d'ailleurs pour les parisiens). Plusieurs intervenants et une présentation finale devant le maire du 18e. Format du cours : cours théorique, ""wrap-up"" (résumé du cours précédent par un ou plusieurs étudiants), ""pic of the week"" (chaque semaine une photo à poster sur le groupe fb du cours en rapport avec les services), intervenant ou travail sur le cas. A la fin, oral + dossier écrit de 10 pages environ sur le cas (en groupe). Facile à valider et intéressant.";Anglais très mauvais (accent + fautes de grammaire). A part ça, prof gentil, qui mène bien son cours de façon à le rendre dynamique. Crée le débat, ouvert aux questions. ;8;9;21
Organization Theory & Behaviour;Terry Rocves;Cous très très théorique, pas intéressant.;Le prof écrit tout sur le tableau, pas de PPT, plusieurs cas à faire en classe + 1 cas en groupe + un examen pour valider le cours. Pour conclure: à la fois ennuyeux et agaçant.;5;3;
Marketing management (en français);Nicolas Glady;TOP! le cours est vraiment intéressant. On est très loin du fonda barbant et hyper théorique. La c'est que de l'application: des cas, des cas, des cas! Pas mal de travail perso demandé. Le type de travail demandé est super intéressant et nouveau pour moi. On sort de l'image bullshit du marketing. Dans ce cours, tout doit être chiffré et justifié.;Il mérite largement sa réputation de meilleur prof de l'ESSEC. Jeune, dynamique, drôle, super pointu, pas académique. Présence pas obligatoire, bonnes notes assurées si on a travaillé un minimum. ;10;10;45
Espagnol intermédiaire - niveau D;Luce CANALS;Un cours intéressant, qui permet de refaire un peu d'espagnol, mais il ne reprend pas suffisamment les bases de l'espagnol de manière structurée. Un bon point : on y apprend beaucoup de nouveau vocabulaire.;Le professeur est très sympathique, mais pas toujours très organisée dans ses cours. On revoit des règles de grammaire et de conjugaison par ci par là, mais ce n'est pas défini à l'avance et ça ne suit pas toujours un plan donné.;7;6;65
New venture design & planning;Jan Lepoutre;Beaucoup de concepts abordés. Un cours très important pour toute personne intéressée par l'entrepreneuriat car on aborde tous les points importants avant de lancer son entreprise, et on apprend en groupe à rédiger un Business Plan de qualité.;Pédagogie très intéressante avec apports théoriques au début de chaque cours puis la mise en pratique à travers nos groupes de 4/6 étudiants en vue de présenter à la fin du trimestre notre business plan à un jury de qualité. ;8;7;
Business Economics;Frédéric Jenny;Cours pas inintéressant par moments mais beaucoup trop conceptuel et magistral. Beaucoup trop de lectures à faire (revues de presse, deux ou trois livres, 70 slides par séance). Un partiel basé que sur des questions de cours.;Professeur qui s'y connait mais qui est trop monotone et qui parle un peu trop.  / Compte les demi absences et les retards.;3;1;29
Finance immobilière;Michel Baroni;Le contenu est très clair, et donne un très bon panorama du secteur de par les angles financiers et immo pur. M'a permi de développer une certaine appétence pour ce secteur. Les concepts sont 70% financiers, ce qui peut en laisser plus d'un sur le côté si vous ne savez pas ce qu'est une option. ;Fin pédagogue, prendra toujours le temps de répondre à vos questions / remarques. La correction des exos est parfois expéditive, aussi je recommande vivement de faire les exercices chez soi. Notation à 40% sur un cas sur logiciel, donnez-vous à fond sur ce cas et le quizz final ne posera pas de probleme. M'a conduit à prendre Politique Financière avec M. Baroni. ;9;10;
International Strategy & Management;Askom Som;"A FUIR !!!! Cours très bien vendu dans le syllabus mais il n'en est rien ! MEFIEZ VOUS !!! concrètement le prof ne fait pas de cours, en revanche il a une énorme capacité à donner beaucoup beaucoup de travaille : des cas de 50 pages, des présentations d'une heure à préparer pour les séances + cas type Harvard à rédiger et la présentation faisant office de final, sans compter les cas à faire pendant le cours sur table (bien sur)... OK, il n'y a pas de final, mais clairement vous allez y passer 3h par semaines minimum. Le support de ""cours"" est un énorme poly rassemblant les cas (rédiger par les anciens étudiants de ce cours) que nous devons travailler. De temps en temps, il y a un semblant de débat entre les étudiants soit disant animé par le prof... / AUCUNE VALEUR AJOUTE";CATASTROPHIQUE ! Très fort accent donc difficile à comprendre.  / Aucune structure quand il fait un semblant de cours.  / Aucune préparation du cours (pourquoi en faire, puisque concrètement ce sont les étudiants qui font des présentations, ou des cas sur table) / N.B : il est arrivé que le prof sorte de la salle pendant qu'un des étudiants était en train de présenter le travaille que le prof lui avait demander de faire !!!! / Pour le contenu du poly : il reprend les cas rédigés par les étudiants des années précédentes;1;1;37
Macroeconomic Theory & Development;Estefania Santacreu-Vasut;Cours franchement intéressant sur les grandes théories macro. Le cours ne porte pas uniquement là dessus mais la prof est très intéressé par les questions de développement durable, d'écologie etc... donc vous pouvez la brancher là dessus !;Assez clair dans son cours, essaie de faire participer les gens.;7;8;
Marketing Management (in English);Albert Bemmaor;Horrible, aucun interet, ;Idem;2;2;
Negotiation Workshop;Séverine Lebrun-Kuan;Cours qui aurait pu être intéressa,t;Note les absences / Prof assez dybamique (le mec l'est moins...);2;1;
Fondements de la finance;Patrice Poncet;Très clair et complet;Professeur patient et attentif. Bon pédagogue.;8;8;1
Economie managériale;Marc Guyot;Cours classique de micro-économie, très structuré pas spécialement intéressant mais fonda... Pas mal de travail avec les cas;Chiant mais facile à suivre;6;7;
Economie managériale;Marc Guyot;Enfin un cours fondamental qui porte bien son nom ! C'est intéressant, et le programme est respecté : on mêle avec bonheur management et économie, il y a quelques concepts mais pas trop, bref c'est un cours comme vous en aurez peu pendant votre scolarité.;"Guyot est intéressant, clair, structuré, souvent drôle. Malgré la réputation plus ""matheuse"" de Guyot pour ce cours, l'algèbre utilisée est remarquablement simple. N'hésitez plus, prenez Guyot !";10;10;41
Business Economics;Frédéric Jenny;;;;;32
